Model,MAD,MSE,RMSE,MAPE
WMA-5,1.8292255027813435,5.130757381258024,2.2651175204077214,41506226.18078723
MA-14,2.322189430969289,8.32564458966285,2.885419309158177,55796394.316494115
Holt-Winters,2.43034465946992,14.328596369587123,3.785313245900149,12115871725.047293
SES-0.3,2.477778318771791,16.515108013398354,4.063878444712435,12341525437.00209
